step,loss
1,51.654179
2,51.169071
3,68.907700
4,57.808109
5,56.263680
6,54.989471
7,70.795769
8,49.457150
9,54.469234
10,71.175743
11,67.450340
12,47.082378
13,56.267944
14,40.139816
15,57.350986
16,52.825047
17,57.211914
18,58.309025
19,53.020088
20,59.921040
21,73.858200
22,55.897900
23,44.836243
24,48.471634
25,46.481449
26,47.463219
27,52.380585
28,49.963379
29,49.818222
30,46.031487
31,46.898933
32,54.629646
33,48.751759
34,44.140232
35,57.086182
36,56.838211
37,44.361656
38,57.624790
39,46.054222
40,45.020836
41,44.929218
42,51.289654
43,46.994705
44,53.875660
45,50.677280
46,34.714981
47,44.053745
48,38.992447
49,39.764339
50,46.311844
51,37.118423
52,38.745602
53,43.994045
54,37.020012
55,52.884422
56,42.199039
57,55.095364
58,45.468597
59,42.574997
60,34.401989
61,66.757698
62,31.075302
63,41.643890
64,39.696915
65,35.704132
66,58.781147
67,35.942539
68,58.756969
69,41.946671
70,34.459518
71,44.951576
72,49.482346
73,54.825291
74,42.755108
75,46.830181
76,49.014381
77,27.302027
78,37.708328
79,32.344948
80,49.810413
81,40.072479
82,47.078781
83,50.451565
84,43.409512
85,40.523701
86,43.214264
87,33.392757
88,42.807400
89,41.525295
90,48.146248
91,37.984547
92,31.359056
93,46.290520
94,33.205925
95,34.245430
96,45.926033
97,46.388550
98,40.926441
99,46.425961
100,44.805397
101,34.116421
102,47.636230
103,47.349220
104,37.558262
105,57.388535
106,40.267227
107,54.753540
108,34.997086
109,53.255344
110,34.660034
111,42.551132
112,31.104897
113,44.582104
114,38.195644
115,36.094398
116,32.111210
117,36.500542
118,26.240271
119,40.719395
120,26.968981
121,40.119209
122,47.503979
123,42.864746
124,28.931396
125,30.426151
126,41.617496
127,41.508102
128,33.513908
129,33.207825
130,50.121853
131,43.145634
132,44.067627
133,37.374489
134,46.960075
135,30.729361
136,49.200184
137,48.576775
138,38.251961
139,41.424839
140,34.835655
141,34.177479
142,37.009167
143,44.453423
144,51.981255
145,32.175613
146,35.088295
147,42.984962
148,29.876751
149,38.592049
150,31.247540
151,49.223919
152,35.998508
153,34.035988
154,32.695351
155,31.562426
156,49.744385
157,39.473278
158,38.093773
159,41.162434
160,39.432503
161,44.274342
162,38.005455
163,40.572453
164,52.956924
165,39.561581
166,26.511068
167,36.661720
168,33.058777
169,31.977613
170,39.729778
171,34.927921
172,39.733231
173,36.691242
174,29.767069
175,29.195370
176,30.840118
177,40.460594
178,35.681305
179,36.647175
180,36.474644
181,48.255661
182,36.631626
183,48.535381
184,36.233639
185,35.889175
186,36.878162
187,45.223892
188,37.139885
189,33.765862
190,32.469395
191,24.752752
192,61.026268
193,43.083336
194,33.626091
195,37.907455
196,45.423862
197,50.486015
198,28.828257
199,34.797688
200,50.007328
201,34.414528
202,31.967091
203,38.950241
204,44.375008
205,37.148495
206,42.991245
207,28.741798
208,44.928802
209,57.789062
210,33.907253
211,36.700272
212,36.518539
213,40.914078
214,43.500999
215,32.912872
216,25.319666
217,32.852371
218,30.491575
219,35.600948
220,33.820889
221,42.478321
222,35.856911
223,47.810730
224,29.935186
225,42.387722
226,40.953171
227,36.700691
228,29.015867
229,41.675003
230,42.532169
231,34.922421
232,35.215965
233,25.757153
234,44.165829
235,44.159264
236,32.714813
237,41.902657
238,33.820065
239,28.505079
240,38.228809
241,35.030907
242,31.683172
243,34.076115
244,30.797188
245,34.958069
246,42.412788
247,40.881901
248,25.294525
249,32.099007
250,27.993551
251,33.195061
252,39.536613
253,35.919441
254,34.394794
255,39.514038
256,20.724457
257,19.226852
258,38.484146
259,31.830475
260,30.245026
261,21.633801
262,45.164577
263,29.144016
264,28.223839
265,43.119049
266,28.073101
267,45.202221
268,26.181376
269,21.984175
270,48.983177
271,31.481920
272,29.693026
273,39.162758
274,29.288857
275,24.818171
276,34.085514
277,37.898758
278,32.095757
279,26.760521
280,36.447048
281,31.662010
282,36.900440
283,35.398754
284,34.474018
285,42.439838
286,30.819490
287,27.992931
